Transaction ID,Datetime,Merchant,Category,Amount,Description,Balance
T0000003,2022-01-01 06:27:00,Starbucks,Social Media Purchases,825.3,Debit at Starbucks for Social Media Purchases,8670.11
T0000004,2022-01-01 06:54:00,Starbucks,Food Delivery,156.18,Debit at Starbucks for Food Delivery,8513.93
T0000008,2022-01-02 00:58:00,Amazon,Streaming Subscription,300.09,Debit at Amazon for Streaming Subscription,9573.61
T0000011,2022-01-02 18:22:00,TikTok Shop,Coffee,294.47,Debit at TikTok Shop for Coffee,10915.91
T0000012,2022-01-02 19:42:00,Spotify,Tech Gadgets,23.22,Debit at Spotify for Tech Gadgets,10892.69
T0000014,2022-01-03 01:28:00,Apple Store,Gaming,743.46,Debit at Apple Store for Gaming,10864.42
T0000016,2022-01-03 09:16:00,UberEats,Clothing,499.78,Debit at UberEats for Clothing,10387.63
T0000017,2022-01-04 05:32:00,UberEats,Tech Gadgets,662.07,Debit at UberEats for Tech Gadgets,9725.56
T0000018,2022-01-04 11:52:00,Amazon,Social Media Purchases,970.09,Debit at Amazon for Social Media Purchases,8755.47
T0000020,2022-01-04 16:23:00,H&M,Tech Gadgets,431.08,Debit at H&M for Tech Gadgets,8742.95
T0000021,2022-01-04 18:09:00,TikTok Shop,Food Delivery,569.47,Debit at TikTok Shop for Food Delivery,8173.48
T0000023,2022-01-04 21:53:00,Apple Store,Social Media Purchases,807.66,Debit at Apple Store for Social Media Purchases,7949.91
T0000025,2022-01-05 03:05:00,TikTok Shop,Social Media Purchases,631.23,Debit at TikTok Shop for Social Media Purchases,7629.51
T0000027,2022-01-05 09:29:00,TikTok Shop,Social Media Purchases,896.91,Debit at TikTok Shop for Social Media Purchases,7105.79
T0000030,2022-01-05 15:55:00,Netflix,Streaming Subscription,475.38,Debit at Netflix for Streaming Subscription,7978.1
T0000033,2022-01-06 02:58:00,Sephora,Beauty Products,555.81,Debit at Sephora for Beauty Products,9056.84
T0000036,2022-01-06 10:55:00,TikTok Shop,Coffee,531.19,Debit at TikTok Shop for Coffee,9282.91
T0000037,2022-01-06 13:15:00,TikTok Shop,Social Media Purchases,775.28,Debit at TikTok Shop for Social Media Purchases,8507.63
T0000039,2022-01-07 04:02:00,Amazon,Social Media Purchases,779.32,Debit at Amazon for Social Media Purchases,7914.56
T0000041,2022-01-07 16:11:00,Apple Store,Beauty Products,369.37,Debit at Apple Store for Beauty Products,7786.35
T0000042,2022-01-07 16:27:00,Sephora,Clothing,670.72,Debit at Sephora for Clothing,7115.63
T0000050,2022-01-09 18:05:00,Starbucks,Tech Gadgets,54.08,Debit at Starbucks for Tech Gadgets,11636.7
T0000053,2022-01-10 12:15:00,Amazon,Beauty Products,878.03,Debit at Amazon for Beauty Products,12431.51
T0000060,2022-01-11 23:43:00,Shein,Tech Gadgets,424.71,Debit at Shein for Tech Gadgets,14485.51
T0000061,2022-01-12 22:29:00,UberEats,Coffee,346.75,Debit at UberEats for Coffee,14138.76
T0000064,2022-01-14 00:37:00,UberEats,Clothing,786.36,Debit at UberEats for Clothing,14288.02
